"ID","KERRY2004","BUSH2004"
37001,38.7194068302491,60.850168085708
37003,28.5368559040032,71.0900473933649
37005,36.0100828231905,63.6658264314008
37007,57.0737404070737,42.7427427427427
37009,35.0263311878291,64.4470450555881
37011,22.9194630872483,76.4765100671141
37013,37.2832774049217,62.3531879194631
37015,61.5950710251583,37.908608591477
37017,51.0739592559787,48.6603188662533
37019,38.9564535111809,60.5858506603897
37021,47.5890812645174,51.6514834522182
37023,36.1206339742634,63.4669846474884
37025,31.8762886597938,67.7135105805752
37027,30.471343217526,68.9145828723169
37029,35.9877488514548,63.7442572741195
37031,29.6828963795256,69.8027465667915
37033,46.777238403452,52.9395900755124
37035,32.1286715194081,67.4826545745896
37037,45.7834678541609,53.5555246312274
37039,31.5677168319317,67.9302121250157
37041,44.1358789982643,55.5417803124225
37043,31.7241379310345,67.4645030425963
37045,36.7620476791378,62.9344156065619
37047,47.796973349404,51.8481317798312
37049,37.4900596421471,62.1023856858847
37051,47.6951077460687,51.9947582993593
37055,38.0400326057422,61.5523956163391
37057,28.552294569636,71.0294428648636
37059,23.8176105969262,75.7068863038125
37061,40.5190311418685,59.2041522491349
37063,67.961230170708,31.4904249253781
37065,59.7087995930824,40.0877416073245
37067,44.1871124040071,55.4312546184138
37069,43.260128739114,56.3422945853843
37071,30.3506201374414,69.209814887426
37073,51.5377724693939,48.253209913407
37075,28.9699570815451,70.3862660944206
37077,48.5136487065885,51.1862226668572
37079,41.2782113478169,58.5741404766927
37081,51.1077342102204,48.3849002707057
37083,58.1102458018983,41.7254806522268
37085,35.2771807453668,64.4470578693378
37087,42.613974526842,56.7551481966433
37089,33.7646049244175,65.7007063172487
37091,61.5716008960882,37.7218679993107
37093,51.4836169315146,48.1085641963156
37095,46.9328140214216,52.6290165530672
37097,31.1831527023502,68.3472857922072
37099,45.2373229538328,54.0707103470645
37101,30.4765233601305,69.1809390655948
37103,42.7669345579793,56.8599311136625
37105,38.9529018212712,60.7922264110869
37107,47.1973530556637,52.6145062929804
37109,30.5031162496613,69.1536446572125
37111,31.9822046465645,67.4246169055858
37113,35.3121105698425,63.9288546505041
37115,43.6344663088849,55.799045915325
37117,48.1807081807082,51.6605616605617
37119,50.283463544083,49.3054911203073
37121,22.5164244475413,76.9659565996416
37123,42.8799019607843,56.8504901960784
37125,34.2025879177582,65.4600301659125
37127,42.4948823996324,57.2878806868029
37129,43.6193437417306,55.9523021963482
37131,64.4381625441696,35.4628975265018
37133,29.2581242873432,70.3427879133409
37135,59.4462966594757,39.5698502974439
37139,55.2141929900476,44.2665512765037
37141,40.7249802994484,58.9676910953507
37143,40.893989731199,58.5321655089097
37145,42.4653739612188,57.1606648199446
37147,46.3221758407011,53.3978065285592
37149,39.1729323308271,59.6428571428571
37151,24.8651257879493,74.7714237037878
37153,51.9041710413286,47.7426744297032
37155,52.4709051352005,47.2597299444003
37157,37.6474454953803,62.0129277288829
37159,31.3462468501031,68.2134039249625
37161,31.9852226327046,67.4444228401063
37163,42.2526083857171,57.5335363877908
37165,55.9894751419471,43.8166458939205
37167,30.0234654810424,69.612202050142
37169,28.9404132628544,70.6991830850553
37171,30.3361025139817,69.2512352717598
37173,45.1764057331863,54.0793825799338
37175,36.4908384230983,62.7318156579678
37177,46.3629684055841,53.4166054371785
37179,27.7938621887666,71.8297625940938
37181,55.7082724851817,44.102740314406
37183,46.4580913140498,53.0049392827593
37185,62.1909402634903,37.6285868976719
37187,57.8008198697854,41.8615866891729
37189,42.2089825847846,56.9584479071188
37191,42.6356135525777,57.0718005734683
37193,27.8772251698319,71.7459215550156
37195,46.9547242109509,52.7629323384088
37197,22.552211546097,77.1936790280315
37199,44.8376623376623,54.4642857142857
37137,36.7573570238756,62.7151582454192
37053,32.4948132780083,66.8827800829876
